2020-02-19 07:43:38 status unpacked libkrb5support0:amd64 1.17-3
2020-02-19 07:43:38 install libk5crypto3:amd64 <none> 1.17-3
2020-02-19 07:43:38 status half-installed libk5crypto3:amd64 1.17-3
2020-02-19 07:43:38 status unpacked libk5crypto3:amd64 1.17-3
2020-02-19 07:43:38 install libkrb5-3:amd64 <none> 1.17-3
2020-02-19 07:43:38 status half-installed libkrb5-3:amd64 1.17-3
2020-02-19 07:43:39 status unpacked libkrb5-3:amd64 1.17-3
2020-02-19 07:43:39 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-02-19 07:43:39 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-02-19 07:43:39 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-02-19 07:43:39 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-02-19 07:43:39 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-02-19 07:43:39 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2020-02-19 07:43:39 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-02-19 07:43:39 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-02-19 07:43:39 install libpsl5:amd64 <none> 0.20.2-2
2020-02-19 07:43:39 status half-installed libpsl5:amd64 0.20.2-2
2020-02-19 07:43:39 status unpacked libpsl5:amd64 0.20.2-2
2020-02-19 07:43:39 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2020-02-19 07:43:39 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-02-19 07:43:39 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-02-19 07:43:39 install libssh2-1:amd64 <none> 1.8.0-2.1
2020-02-19 07:43:39 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-02-19 07:43:39 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-02-19 07:43:39 install libcurl4:amd64 <none> 7.64.0-4
2020-02-19 07:43:39 status half-installed libcurl4:amd64 7.64.0-4
2020-02-19 07:43:39 status unpacked libcurl4:amd64 7.64.0-4
2020-02-19 07:43:39 install libedit2:amd64 <none> 3.1-20181209-1
2020-02-19 07:43:39 status half-installed libedit2:amd64 3.1-20181209-1
2020-02-19 07:43:39 status unpacked libedit2:amd64 3.1-20181209-1
2020-02-19 07:43:39 install libpng16-16:amd64 <none> 1.6.36-6
2020-02-19 07:43:39 status half-installed libpng16-16:amd64 1.6.36-6
2020-02-19 07:43:39 status unpacked libpng16-16:amd64 1.6.36-6
2020-02-19 07:43:39 install libfreetype6:amd64 <none> 2.9.1-3+deb10u1
2020-02-19 07:43:39 status half-installed libfreetype6:amd64 2.9.1-3+deb10u1
2020-02-19 07:43:39 status unpacked libfreetype6:amd64 2.9.1-3+deb10u1
2020-02-19 07:43:39 install libfontconfig1:amd64 <none> 2.13.1-2
2020-02-19 07:43:39 status half-installed libfontconfig1:amd64 2.13.1-2
2020-02-19 07:43:39 status unpacked libfontconfig1:amd64 2.13.1-2
2020-02-19 07:43:39 install libjpeg62-turbo:amd64 <none> 1:1.5.2-2+b1
2020-02-19 07:43:39 status half-installed libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-02-19 07:43:39 status unpacked libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-02-19 07:43:39 install libjbig0:amd64 <none> 2.1-3.1+b2
2020-02-19 07:43:39 status half-installed libjbig0:amd64 2.1-3.1+b2
2020-02-19 07:43:39 status unpacked libjbig0:amd64 2.1-3.1+b2
2020-02-19 07:43:39 install libwebp6:amd64 <none> 0.6.1-2
2020-02-19 07:43:39 status half-installed libwebp6:amd64 0.6.1-2
2020-02-19 07:43:39 status unpacked libwebp6:amd64 0.6.1-2
2020-02-19 07:43:39 install libtiff5:amd64 <none> 4.1.0+git191117-2~deb10u1
2020-02-19 07:43:39 status half-installed libtiff5:amd64 4.1.0+git191117-2~deb10u1
2020-02-19 07:43:39 status unpacked libtiff5:amd64 4.1.0+git191117-2~deb10u1
2020-02-19 07:43:39 install libxau6:amd64 <none> 1:1.0.8-1+b2
2020-02-19 07:43:39 status half-installed libxau6:amd64 1:1.0.8-1+b2
2020-02-19 07:43:39 status unpacked libxau6:amd64 1:1.0.8-1+b2
2020-02-19 07:43:39 install libxdmcp6:amd64 <none> 1:1.1.2-3
2020-02-19 07:43:39 status half-installed libxdmcp6:amd64 1:1.1.2-3
2020-02-19 07:43:39 status unpacked libxdmcp6:amd64 1:1.1.2-3
2020-02-19 07:43:39 install libxcb1:amd64 <none> 1.13.1-2
2020-02-19 07:43:39 status half-installed libxcb1:amd64 1.13.1-2
2020-02-19 07:43:39 status unpacked libxcb1:amd64 1.13.1-2
2020-02-19 07:43:39 install libx11-data:all <none> 2:1.6.7-1
2020-02-19 07:43:39 status half-installed libx11-data:all 2:1.6.7-1
2020-02-19 07:43:39 status unpacked libx11-data:all 2:1.6.7-1
2020-02-19 07:43:39 install libx11-6:amd64 <none> 2:1.6.7-1
2020-02-19 07:43:39 status half-installed libx11-6:amd64 2:1.6.7-1
2020-02-19 07:43:39 status unpacked libx11-6:amd64 2:1.6.7-1
2020-02-19 07:43:39 install libxpm4:amd64 <none> 1:3.5.12-1
2020-02-19 07:43:39 status half-installed libxpm4:amd64 1:3.5.12-1
2020-02-19 07:43:39 status unpacked libxpm4:amd64 1:3.5.12-1
2020-02-19 07:43:39 install libgd3:amd64 <none> 2.2.5-5.2
2020-02-19 07:43:39 status half-installed libgd3:amd64 2.2.5-5.2
2020-02-19 07:43:39 status unpacked libgd3:amd64 2.2.5-5.2
2020-02-19 07:43:39 install libgeoip1:amd64 <none> 1.6.12-1
2020-02-19 07:43:39 status half-installed libgeoip1:amd64 1.6.12-1
2020-02-19 07:43:39 status unpacked libgeoip1:amd64 1.6.12-1
2020-02-19 07:43:39 install libicu63:amd64 <none> 63.1-6
2020-02-19 07:43:39 status half-installed libicu63:amd64 63.1-6
2020-02-19 07:43:40 status unpacked libicu63:amd64 63.1-6
2020-02-19 07:43:40 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2020-02-19 07:43:40 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-02-19 07:43:40 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-02-19 07:43:40 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2020-02-19 07:43:40 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2020-02-19 07:43:40 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2020-02-19 07:43:40 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2020-02-19 07:43:40 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2020-02-19 07:43:40 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2020-02-19 07:43:40 install lsb-base:all <none> 10.2019051400
2020-02-19 07:43:40 status half-installed lsb-base:all 10.2019051400
2020-02-19 07:43:40 status unpacked lsb-base:all 10.2019051400
2020-02-19 07:43:40 install nginx-common:all <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed nginx-common:all 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked nginx-common:all 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-auth-pam:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-auth-pam:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libxml2:amd64 <none> 2.9.4+dfsg1-7+b3
2020-02-19 07:43:40 status half-installed libxml2:amd64 2.9.4+dfsg1-7+b3
2020-02-19 07:43:40 status unpacked libxml2:amd64 2.9.4+dfsg1-7+b3
2020-02-19 07:43:40 install libxslt1.1:amd64 <none> 1.1.32-2.2~deb10u1
2020-02-19 07:43:40 status half-installed libxslt1.1:amd64 1.1.32-2.2~deb10u1
2020-02-19 07:43:40 status unpacked libxslt1.1:amd64 1.1.32-2.2~deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-dav-ext:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-dav-ext:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-dav-ext:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-echo:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-echo:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-geoip:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-geoip:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-geoip:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-image-filter:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-image-filter:amd64 1.14.2-2+deb10u1
